name,position,team_games_played,time_played,successful_layoffs,open_play_passes,times_tackled,backward_passes,successful_passes_opposition_half,unsuccessful_launches,unsuccessful_long_passes,aerial_duels_lost,total_losses_of_possession,successful_passes_own_half,total_tackles,total_passes,substitute_off,successful_short_passes,goals_conceded_inside_box,total_unsuccessful_passes_excl_crosses_corners,unsuccessful_passes_opposition_half,starts,touches,appearances,ground_duels,forward_passes,index,duels_won,total_fouls_won,aerial_duels_won,duels,goals_conceded,games_played,ground_duels_lost,leftside_passes,successful_open_play_passes,total_successful_passes_excl_crosses_corners,aerial_duels,tackles_won,duels_lost,ground_duels_won,winning_goal,unsuccessful_crosses_open_play,substitute_on,putthrough_blocked_distribution_won,shots_off_target_inc_woodwork,unsuccessful_short_passes,penalty_goals_conceded,total_fouls_conceded,total_shots,key_passes_attempt_assists,putthrough_blocked_distribution,total_touches_in_opposition_box,unsuccessful_dribbles,unsuccessful_crosses_corners,hit_woodwork,tackles_lost,throw_ins_to_own_player,fifty_fifty,goals,corners_won,successful_crosses_corners,successful_dribbles,successful_corners_into_box,rightside_passes,blocked_shots,recoveries,successful_fifty_fifty,unsuccessful_passes_own_half,corners_taken_incl_short_corners,shots_on_target_inc_goals,attempts_from_set_pieces,successful_long_passes,total_clearances,left_foot_goals,foul_won_penalty,unsuccessful_corners_into_box,goals_from_inside_box,penalties_taken,penalty_goals,interceptions,offsides,right_foot_goals,goal_assists,successful_launches,throw_ins_to_opposition_player,foul_attempted_tackle,yellow_cards,blocks,successful_crosses_open_play,handballs_conceded,assists_intentional,clean_sheets,gk_successful_distribution,penalties_conceded,goals_conceded_outside_box,total_red_cards,red_cards_2nd_yellow,straight_red_cards,headed_goals,saves_made,punches,saves_made_from_outside_box,saves_made_parried,saves_made_from_inside_box,gk_unsuccessful_distribution,goals_from_outside_box,unsuccessful_layoffs,through_balls,second_goal_assists,goalkeeper_smother,catches,penalties_faced,penalties_saved,saves_from_penalty,set_pieces_goals,last_man_tackle,clearances_off_the_line,saves_made_caught,penalties_off_target,own_goal_scored,drops,crosses_not_claimed,other_goals
Hugo Fraile,Delantero,10,881,4,289,25,62,171,5,21,20,194,75,2,313,2,206,11,93,118,10,504,10,63,111,10,34,15,10,93,11,10,39,101,203,220,30,1,59,24,0,10,0,7,3,72,1,12,4,19,13,11,11,39,1,1,6,10,1,7,26,9,10,39,1,58,7,14,34,1,0,14,3,0,0,20,1,0,0,3,1,1,1,2,2,7,1,0,5,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hugo Rama,Centrocampista,11,351,5,101,7,33,60,2,3,3,36,32,4,108,3,89,4,16,21,5,165,6,32,24,10,13,3,0,35,4,6,19,19,86,92,3,1,22,13,0,2,1,1,2,13,1,8,4,1,2,8,2,7,0,3,0,1,1,0,0,6,0,32,3,12,1,2,4,2,2,3,0,0,0,4,1,0,0,2,0,1,0,0,0,5,1,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Héber Pena Picos,Defensa,10,408,1,93,22,21,54,3,6,6,86,22,5,98,3,65,5,31,36,4,226,9,60,29,10,30,7,4,70,5,9,34,17,62,67,10,4,40,26,0,9,5,1,4,25,1,10,7,9,6,9,10,11,0,1,8,9,0,2,9,14,3,31,1,25,4,6,7,3,0,2,1,0,0,1,0,0,0,7,0,0,0,0,5,6,3,0,5,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Iago Indias,Centrocampista,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Iago López,Defensa,10,800,0,268,8,52,105,13,28,7,120,100,18,274,0,185,9,72,65,8,485,10,56,129,10,45,11,10,73,9,10,21,83,196,202,17,10,28,35,0,16,2,4,0,44,1,6,0,5,11,6,2,16,0,8,64,5,0,4,3,6,0,10,0,29,1,23,0,0,0,17,8,0,0,0,0,0,0,18,1,0,0,3,9,2,0,3,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Ibrahim Diabate,Delantero,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ibrahima Kebe,Centrocampista,10,290,2,110,6,14,60,2,3,14,31,33,9,110,1,90,4,17,12,2,172,7,36,36,10,27,7,8,58,4,7,17,34,93,93,22,3,31,19,0,1,5,3,0,14,0,7,1,3,5,5,1,1,0,6,0,6,0,0,0,3,0,26,1,22,3,6,0,1,0,3,6,0,0,0,0,0,0,6,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ibán Salvador Edu,Delantero,11,620,0,147,14,23,74,6,17,6,94,29,8,151,7,91,3,49,51,8,287,10,95,63,10,62,44,3,104,5,10,36,28,99,102,9,7,42,59,0,9,2,2,2,32,1,12,6,6,8,4,7,10,0,1,0,8,1,3,1,7,0,37,0,34,6,8,0,4,0,11,2,1,0,0,1,2,1,6,0,0,0,1,0,4,5,1,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Iddrisu Baba Mohammed,Centrocampista,11,492,1,218,8,31,101,2,7,9,54,91,17,225,3,172,1,33,22,6,306,6,61,90,10,42,11,10,80,1,6,29,47,186,192,19,11,38,32,0,2,0,2,2,26,0,15,3,2,8,3,3,2,0,6,1,17,0,0,0,4,0,57,0,50,8,13,0,1,0,20,3,0,0,0,0,0,0,6,0,0,0,2,0,10,3,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ignasi Miquel,Defensa,11,288,0,160,1,9,29,4,17,13,46,100,2,171,0,120,2,42,25,3,220,4,10,76,10,23,5,16,39,3,4,3,19,119,129,29,1,16,7,0,0,1,0,1,25,0,2,1,2,0,5,1,0,0,1,1,3,0,0,0,0,0,67,1,11,2,17,0,0,0,9,21,0,0,0,0,0,0,8,1,0,0,0,0,1,0,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
